"factor_condition","jumlah_kecelakaan"
"Not an Intersection - Daylight - Clear","7988"
"Not an Intersection - Dark - Not Lighted - Clear","5945"
"Not an Intersection - Dark - Lighted - Clear","3486"
"Four-Way Intersection - Daylight - Clear","2131"
"Not an Intersection - Daylight - Cloudy","1665"
"Four-Way Intersection - Dark - Lighted - Clear","1221"
"T-Intersection - Daylight - Clear","1154"
"Not an Intersection - Dark - Not Lighted - Cloudy","1117"
"Not an Intersection - Daylight - Rain","879"
"Not an Intersection - Daylight - Not Reported","784"
